@relation traindata

@attribute AccX1 numeric
@attribute AccY1 numeric
@attribute AccZ1 numeric
@attribute GyrX1 numeric
@attribute GyrY1 numeric
@attribute GyrZ1 numeric
@attribute AccX2 numeric
@attribute AccY2 numeric
@attribute AccZ2 numeric
@attribute GyrX2 numeric
@attribute GyrY2 numeric
@attribute GyrZ2 numeric
@attribute AccX3 numeric
@attribute AccY3 numeric
@attribute AccZ3 numeric
@attribute GyrX3 numeric
@attribute GyrY3 numeric
@attribute GyrZ3 numeric
@attribute AccX4 numeric
@attribute AccY4 numeric
@attribute AccZ4 numeric
@attribute GyrX4 numeric
@attribute GyrY4 numeric
@attribute GyrZ4 numeric
@attribute AccX5 numeric
@attribute AccY5 numeric
@attribute AccZ5 numeric
@attribute GyrX5 numeric
@attribute GyrY5 numeric
@attribute GyrZ5 numeric
@attribute AccX6 numeric
@attribute AccY6 numeric
@attribute AccZ6 numeric
@attribute GyrX6 numeric
@attribute GyrY6 numeric
@attribute GyrZ6 numeric
@attribute AccX7 numeric
@attribute AccY7 numeric
@attribute AccZ7 numeric
@attribute GyrX7 numeric
@attribute GyrY7 numeric
@attribute GyrZ7 numeric
@attribute AccX8 numeric
@attribute AccY8 numeric
@attribute AccZ8 numeric
@attribute GyrX8 numeric
@attribute GyrY8 numeric
@attribute GyrZ8 numeric
@attribute AccX9 numeric
@attribute AccY9 numeric
@attribute AccZ9 numeric
@attribute GyrX9 numeric
@attribute GyrY9 numeric
@attribute GyrZ9 numeric
@attribute AccX10 numeric
@attribute AccY10 numeric
@attribute AccZ10 numeric
@attribute GyrX10 numeric
@attribute GyrY10 numeric
@attribute GyrZ10 numeric
@attribute AccX11 numeric
@attribute AccY11 numeric
@attribute AccZ11 numeric
@attribute GyrX11 numeric
@attribute GyrY11 numeric
@attribute GyrZ11 numeric
@attribute AccX12 numeric
@attribute AccY12 numeric
@attribute AccZ12 numeric
@attribute GyrX12 numeric
@attribute GyrY12 numeric
@attribute GyrZ12 numeric
@attribute AccX13 numeric
@attribute AccY13 numeric
@attribute AccZ13 numeric
@attribute GyrX13 numeric
@attribute GyrY13 numeric
@attribute GyrZ13 numeric
@attribute AccX14 numeric
@attribute AccY14 numeric
@attribute AccZ14 numeric
@attribute GyrX14 numeric
@attribute GyrY14 numeric
@attribute GyrZ14 numeric
@attribute AccX15 numeric
@attribute AccY15 numeric
@attribute AccZ15 numeric
@attribute GyrX15 numeric
@attribute GyrY15 numeric
@attribute GyrZ15 numeric
@attribute AccX16 numeric
@attribute AccY16 numeric
@attribute AccZ16 numeric
@attribute GyrX16 numeric
@attribute GyrY16 numeric
@attribute GyrZ16 numeric
@attribute AccX17 numeric
@attribute AccY17 numeric
@attribute AccZ17 numeric
@attribute GyrX17 numeric
@attribute GyrY17 numeric
@attribute GyrZ17 numeric
@attribute AccX18 numeric
@attribute AccY18 numeric
@attribute AccZ18 numeric
@attribute GyrX18 numeric
@attribute GyrY18 numeric
@attribute GyrZ18 numeric
@attribute AccX19 numeric
@attribute AccY19 numeric
@attribute AccZ19 numeric
@attribute GyrX19 numeric
@attribute GyrY19 numeric
@attribute GyrZ19 numeric
@attribute AccX20 numeric
@attribute AccY20 numeric
@attribute AccZ20 numeric
@attribute GyrX20 numeric
@attribute GyrY20 numeric
@attribute GyrZ20 numeric
@attribute AccX21 numeric
@attribute AccY21 numeric
@attribute AccZ21 numeric
@attribute GyrX21 numeric
@attribute GyrY21 numeric
@attribute GyrZ21 numeric
@attribute AccX22 numeric
@attribute AccY22 numeric
@attribute AccZ22 numeric
@attribute GyrX22 numeric
@attribute GyrY22 numeric
@attribute GyrZ22 numeric
@attribute AccX23 numeric
@attribute AccY23 numeric
@attribute AccZ23 numeric
@attribute GyrX23 numeric
@attribute GyrY23 numeric
@attribute GyrZ23 numeric
@attribute AccX24 numeric
@attribute AccY24 numeric
@attribute AccZ24 numeric
@attribute GyrX24 numeric
@attribute GyrY24 numeric
@attribute GyrZ24 numeric
@attribute AccX25 numeric
@attribute AccY25 numeric
@attribute AccZ25 numeric
@attribute GyrX25 numeric
@attribute GyrY25 numeric
@attribute GyrZ25 numeric
@attribute AccX26 numeric
@attribute AccY26 numeric
@attribute AccZ26 numeric
@attribute GyrX26 numeric
@attribute GyrY26 numeric
@attribute GyrZ26 numeric
@attribute AccX27 numeric
@attribute AccY27 numeric
@attribute AccZ27 numeric
@attribute GyrX27 numeric
@attribute GyrY27 numeric
@attribute GyrZ27 numeric
@attribute AccX28 numeric
@attribute AccY28 numeric
@attribute AccZ28 numeric
@attribute GyrX28 numeric
@attribute GyrY28 numeric
@attribute GyrZ28 numeric
@attribute AccX29 numeric
@attribute AccY29 numeric
@attribute AccZ29 numeric
@attribute GyrX29 numeric
@attribute GyrY29 numeric
@attribute GyrZ29 numeric
@attribute AccX30 numeric
@attribute AccY30 numeric
@attribute AccZ30 numeric
@attribute GyrX30 numeric
@attribute GyrY30 numeric
@attribute GyrZ30 numeric
@attribute Label {up,down,left,right,tiltleft,tiltright}

@data
-73,-38,108,299,511,-157,69,13,-2,667,-1034,126,-22,-9,-37,606,-675,252,31,-50,-120,163,53,43,-8,-40,-86,-376,300,-123,-13,-38,-52,-816,286,-207,-56,-4,-36,-703,1673,100,51,11,101,-1601,239,99,-3,71,151,-22,-914,-225,-2,24,75,828,608,60,46,0,-14,556,-782,89,-40,-18,-25,348,164,135,11,5,-29,53,-470,-79,0,-4,-17,-10,234,-53,12,4,-15,-32,-263,-40,5,1,-3,-8,125,-26,-8,2,6,13,-7,-16,7,-1,1,24,-50,15,-5,3,4,3,53,22,3,0,-1,23,-101,-12,0,-1,-6,-5,67,0,-6,-4,2,-16,-9,23,11,3,-3,0,-22,-14,-8,2,1,8,32,-2,3,0,1,-18,-25,-18,-2,-1,3,10,17,7,0,-1,-2,14,-1,18,2,-1,0,-5,-7,-18,-3,-1,0,-12,4,8,3,4,16,-38,-115,-55,up
-32,23,142,232,386,-270,19,3,23,1174,-1677,59,-21,-24,-108,852,321,400,48,-59,-197,5,-316,220,2,-25,-109,-878,392,-370,-49,-26,-2,-1072,696,-31,-47,-7,16,-804,1789,327,70,8,96,-1139,-72,-96,33,35,79,-90,-323,-190,42,31,85,-258,-514,-217,-93,40,31,688,-433,73,0,20,30,646,365,128,9,-3,-41,622,-277,150,33,-9,-28,24,-415,-120,-26,-2,-21,126,377,69,30,-2,-13,-46,-384,-80,-18,-3,0,-13,286,31,7,2,-2,13,-183,-28,-2,-1,1,-24,158,11,-2,0,4,-9,-86,4,7,0,-2,18,14,-11,-8,-1,-2,3,52,27,6,-1,0,-37,-63,-30,-1,0,0,-22,44,5,-3,3,6,39,7,-13,0,-3,-7,8,-52,4,-1,2,4,-9,62,20,5,0,-1,2,-47,-21,-7,2,-1,2,42,-2,6,-1,-2,-10,-94,18,up
-32,17,147,265,-130,-143,11,35,64,1335,-1612,171,-81,-56,-172,1167,1021,659,166,-110,-266,-1010,-412,-668,-103,-1,-41,-1536,1071,-560,13,16,95,-1108,1610,329,-3,42,102,-592,-783,226,21,-6,75,183,160,132,-32,38,26,234,-213,-55,65,5,33,121,-432,-74,-61,23,3,482,121,80,44,1,-18,316,-236,-93,-28,-11,-22,141,-29,1,30,0,-28,101,-139,38,-10,-3,0,-63,108,-34,7,1,0,-25,-72,-47,-8,2,5,0,51,11,3,3,-3,13,-83,11,1,-1,2,-34,77,7,-1,-5,2,30,0,22,2,-1,-5,-24,-68,-25,-7,2,3,25,81,3,5,1,-3,-19,-62,-4,-1,-1,3,-14,47,16,-2,0,-1,20,2,0,2,1,0,-24,-34,-15,1,-1,1,21,41,15,-2,1,1,5,-27,-26,2,-1,-1,-13,9,5,-5,4,0,32,13,-2,up
-37,6,143,806,-979,-46,-41,-14,-23,1257,177,515,59,-47,-88,173,-520,65,1,-37,-83,-181,-616,-160,-1,-25,-107,-406,1681,34,44,-20,-92,-1231,-136,-696,-101,15,-9,-1036,1532,157,43,-7,90,-1301,70,201,52,40,95,-208,-374,-54,-27,35,87,167,-754,-168,-38,9,56,408,509,5,-29,40,7,725,-331,243,5,-15,0,135,-690,-310,14,19,-38,620,628,417,41,-11,-34,112,-293,15,-16,0,-4,-147,109,-227,15,9,-3,-4,-114,13,-13,-3,9,-50,122,-14,7,6,-6,-48,-147,-11,-24,11,7,121,122,32,22,-5,-3,45,-41,7,-7,-3,-5,-52,80,28,-1,5,5,0,-85,-67,1,3,0,-9,67,16,2,-3,1,19,-61,0,-3,5,0,44,86,25,1,-2,-2,14,-67,-19,5,-2,-2,18,18,9,-4,3,0,-2,-22,-5,2,-4,2,-15,5,-10,up
-20,25,131,702,-637,-130,-31,2,-13,1145,-629,434,20,-46,-123,841,209,365,37,-78,-137,-333,130,-112,-12,-41,-78,-1305,518,-221,-6,-3,-56,-1135,1622,-285,38,8,84,-1767,285,20,24,53,113,-613,-718,-218,-18,46,76,503,-556,-108,-85,31,103,484,-303,-214,26,-1,9,949,906,274,15,-10,-66,454,-670,156,15,10,-22,117,-240,57,16,-10,-23,164,114,121,-9,-2,-5,-128,-38,-95,12,-1,-1,-33,-10,-17,-11,-1,5,-8,72,-2,3,1,1,-1,-100,-23,-3,-1,-1,-24,41,-8,0,-3,1,28,5,52,-2,0,1,36,42,-4,11,-2,-8,-87,-52,-39,-11,2,7,2,74,1,5,1,-2,-7,-106,-23,1,0,3,7,61,35,-7,-1,-2,16,41,25,9,1,0,-31,-128,-41,-5,-1,0,29,131,24,-4,1,0,-3,-70,-12,9,2,1,4,-24,-2,up
-57,-90,-84,930,-723,-146,11,-5,-33,-190,704,24,10,-3,-41,-310,-42,51,-39,-18,-46,-516,580,235,45,-2,32,-1057,828,33,49,32,98,-440,-530,-127,-11,27,36,75,611,-31,30,49,67,-64,-1214,-278,-44,2,56,317,-221,-117,-31,18,-17,783,662,272,38,17,-8,208,-521,33,-8,-21,-25,328,190,187,12,1,-30,63,-370,-74,11,-5,-6,-114,42,-45,-10,0,-5,47,9,42,7,4,5,-12,-36,-42,-5,-4,-3,-1,131,0,-2,2,3,-53,-123,-28,1,-1,-2,24,124,17,-5,0,-1,-13,-101,-2,8,0,1,-19,20,0,-8,1,5,31,20,9,13,-1,-4,-22,-73,-21,-19,2,1,31,140,33,13,-3,0,-39,-141,-18,0,-1,-1,4,122,-20,-15,3,3,32,-112,23,16,-3,-4,-10,72,10,-10,0,1,-11,-14,-17,10,2,-2,15,-60,3,up
-59,10,121,45,-23,-204,37,20,47,1230,-538,388,2,-20,-77,857,-971,332,15,-46,-140,310,153,79,23,-66,-113,-707,515,-348,-50,-25,-81,-1154,1045,-302,-8,5,18,-986,962,52,17,6,94,-982,-570,112,-14,28,76,129,-235,81,53,-11,42,-57,478,-80,-38,30,7,7,196,-190,11,34,23,86,-610,-155,-19,34,75,161,-535,-213,5,-5,-22,832,869,367,2,-1,-49,232,-727,71,25,-2,-10,-90,120,-75,-12,-2,-11,82,-136,71,11,4,1,26,61,34,-3,-5,3,-57,18,12,-3,0,4,48,-43,7,8,0,-10,25,-2,-3,-8,1,-1,-33,22,-35,6,-3,4,-40,3,-6,-9,3,1,41,31,-7,3,-2,-2,-29,-58,22,-2,0,5,15,35,-6,4,-1,-7,15,-21,1,-5,2,3,-33,14,2,7,-6,-2,4,24,-12,-12,6,4,6,-10,5,up
-66,4,123,497,-273,93,57,-15,2,568,-245,123,12,4,-49,498,-820,20,-8,-17,-98,342,139,-103,32,-36,-114,-353,72,-210,-73,-21,-73,-719,544,-138,-24,-15,0,-846,814,130,0,-14,27,-552,361,359,14,20,60,-314,350,12,63,-1,51,-348,-43,-106,-36,19,30,11,5,-21,60,40,72,-139,-801,-230,-86,5,30,551,235,86,34,12,16,397,50,-81,15,-12,-34,168,-209,40,-20,9,-23,258,122,73,37,2,-17,7,-542,-3,-14,-2,0,42,343,-2,6,-2,-8,-79,-293,-66,-6,4,-1,29,242,22,-4,-3,0,-51,-160,-9,4,2,4,20,167,25,-4,-4,-1,1,-113,-7,6,1,-1,11,32,-2,-11,1,-2,-18,17,-6,16,5,1,-20,-43,-23,-12,-1,1,20,122,40,5,0,4,7,-100,-24,0,-2,-4,13,73,15,-3,2,1,-11,-51,-2,up
26,-9,-137,706,-664,-75,-53,-17,-77,-350,402,-54,17,-1,-15,-584,1129,150,0,11,125,-653,332,126,73,8,116,-153,-421,45,-80,5,97,314,-413,-127,21,1,17,367,-91,-119,-35,10,-46,340,-187,40,45,3,-39,45,-306,1,-18,-1,-38,190,221,30,18,-1,-9,-187,-167,-75,-14,-2,5,-7,199,68,4,-2,1,15,-181,-12,-2,4,0,-9,195,6,1,-3,4,-29,-182,-12,-3,-3,-3,13,242,22,-5,0,-1,-20,-180,-13,10,1,-3,-15,95,14,-9,0,4,34,-39,-12,10,-2,-5,-14,98,9,-5,8,6,-40,-169,-40,1,-4,3,81,158,50,-3,1,-2,-46,-58,1,8,0,-1,30,-41,-29,-8,-1,-5,10,90,12,9,0,2,-73,-148,-11,-9,-2,2,77,229,5,4,2,-1,-37,-206,-3,8,0,-7,54,100,31,-12,-1,6,55,-119,52,up
30,-40,141,-47,-462,-466,-102,18,64,1454,701,94,126,8,-142,837,-780,-86,-13,-1,-163,139,-1265,39,-39,-16,-95,-330,276,164,-29,-41,-65,-1018,1026,131,-45,-32,-30,-1214,1131,284,19,-32,41,-1189,711,274,35,16,104,-953,-335,-31,24,36,98,-373,115,-121,29,56,90,107,-474,-490,-39,41,78,958,-446,-29,6,-18,-23,1107,-25,138,-30,2,-32,347,-314,-88,28,7,-58,363,442,254,1,-6,-19,-73,-349,-15,19,-8,1,-274,74,-147,-28,2,15,22,14,57,17,-1,-5,93,15,-2,-13,-1,-4,-91,26,-4,12,1,7,16,-54,-16,-5,3,-5,30,60,-13,-1,-1,2,-44,-60,-3,-5,2,1,38,46,19,2,-1,-4,-40,-26,-21,-3,0,5,-8,18,22,6,1,-2,48,21,-3,1,-1,-2,-54,33,-25,-5,-2,4,19,-8,7,3,5,-3,10,-8,-9,up
