@relation traindatatest

@attribute AccX1 numeric
@attribute AccY1 numeric
@attribute AccZ1 numeric
@attribute GyrX1 numeric
@attribute GyrY1 numeric
@attribute GyrZ1 numeric
@attribute AccX2 numeric
@attribute AccY2 numeric
@attribute AccZ2 numeric
@attribute GyrX2 numeric
@attribute GyrY2 numeric
@attribute GyrZ2 numeric
@attribute AccX3 numeric
@attribute AccY3 numeric
@attribute AccZ3 numeric
@attribute GyrX3 numeric
@attribute GyrY3 numeric
@attribute GyrZ3 numeric
@attribute AccX4 numeric
@attribute AccY4 numeric
@attribute AccZ4 numeric
@attribute GyrX4 numeric
@attribute GyrY4 numeric
@attribute GyrZ4 numeric
@attribute AccX5 numeric
@attribute AccY5 numeric
@attribute AccZ5 numeric
@attribute GyrX5 numeric
@attribute GyrY5 numeric
@attribute GyrZ5 numeric
@attribute AccX6 numeric
@attribute AccY6 numeric
@attribute AccZ6 numeric
@attribute GyrX6 numeric
@attribute GyrY6 numeric
@attribute GyrZ6 numeric
@attribute AccX7 numeric
@attribute AccY7 numeric
@attribute AccZ7 numeric
@attribute GyrX7 numeric
@attribute GyrY7 numeric
@attribute GyrZ7 numeric
@attribute AccX8 numeric
@attribute AccY8 numeric
@attribute AccZ8 numeric
@attribute GyrX8 numeric
@attribute GyrY8 numeric
@attribute GyrZ8 numeric
@attribute AccX9 numeric
@attribute AccY9 numeric
@attribute AccZ9 numeric
@attribute GyrX9 numeric
@attribute GyrY9 numeric
@attribute GyrZ9 numeric
@attribute AccX10 numeric
@attribute AccY10 numeric
@attribute AccZ10 numeric
@attribute GyrX10 numeric
@attribute GyrY10 numeric
@attribute GyrZ10 numeric
@attribute AccX11 numeric
@attribute AccY11 numeric
@attribute AccZ11 numeric
@attribute GyrX11 numeric
@attribute GyrY11 numeric
@attribute GyrZ11 numeric
@attribute AccX12 numeric
@attribute AccY12 numeric
@attribute AccZ12 numeric
@attribute GyrX12 numeric
@attribute GyrY12 numeric
@attribute GyrZ12 numeric
@attribute AccX13 numeric
@attribute AccY13 numeric
@attribute AccZ13 numeric
@attribute GyrX13 numeric
@attribute GyrY13 numeric
@attribute GyrZ13 numeric
@attribute AccX14 numeric
@attribute AccY14 numeric
@attribute AccZ14 numeric
@attribute GyrX14 numeric
@attribute GyrY14 numeric
@attribute GyrZ14 numeric
@attribute AccX15 numeric
@attribute AccY15 numeric
@attribute AccZ15 numeric
@attribute GyrX15 numeric
@attribute GyrY15 numeric
@attribute GyrZ15 numeric
@attribute AccX16 numeric
@attribute AccY16 numeric
@attribute AccZ16 numeric
@attribute GyrX16 numeric
@attribute GyrY16 numeric
@attribute GyrZ16 numeric
@attribute AccX17 numeric
@attribute AccY17 numeric
@attribute AccZ17 numeric
@attribute GyrX17 numeric
@attribute GyrY17 numeric
@attribute GyrZ17 numeric
@attribute AccX18 numeric
@attribute AccY18 numeric
@attribute AccZ18 numeric
@attribute GyrX18 numeric
@attribute GyrY18 numeric
@attribute GyrZ18 numeric
@attribute AccX19 numeric
@attribute AccY19 numeric
@attribute AccZ19 numeric
@attribute GyrX19 numeric
@attribute GyrY19 numeric
@attribute GyrZ19 numeric
@attribute AccX20 numeric
@attribute AccY20 numeric
@attribute AccZ20 numeric
@attribute GyrX20 numeric
@attribute GyrY20 numeric
@attribute GyrZ20 numeric
@attribute AccX21 numeric
@attribute AccY21 numeric
@attribute AccZ21 numeric
@attribute GyrX21 numeric
@attribute GyrY21 numeric
@attribute GyrZ21 numeric
@attribute AccX22 numeric
@attribute AccY22 numeric
@attribute AccZ22 numeric
@attribute GyrX22 numeric
@attribute GyrY22 numeric
@attribute GyrZ22 numeric
@attribute AccX23 numeric
@attribute AccY23 numeric
@attribute AccZ23 numeric
@attribute GyrX23 numeric
@attribute GyrY23 numeric
@attribute GyrZ23 numeric
@attribute AccX24 numeric
@attribute AccY24 numeric
@attribute AccZ24 numeric
@attribute GyrX24 numeric
@attribute GyrY24 numeric
@attribute GyrZ24 numeric
@attribute AccX25 numeric
@attribute AccY25 numeric
@attribute AccZ25 numeric
@attribute GyrX25 numeric
@attribute GyrY25 numeric
@attribute GyrZ25 numeric
@attribute AccX26 numeric
@attribute AccY26 numeric
@attribute AccZ26 numeric
@attribute GyrX26 numeric
@attribute GyrY26 numeric
@attribute GyrZ26 numeric
@attribute AccX27 numeric
@attribute AccY27 numeric
@attribute AccZ27 numeric
@attribute GyrX27 numeric
@attribute GyrY27 numeric
@attribute GyrZ27 numeric
@attribute AccX28 numeric
@attribute AccY28 numeric
@attribute AccZ28 numeric
@attribute GyrX28 numeric
@attribute GyrY28 numeric
@attribute GyrZ28 numeric
@attribute AccX29 numeric
@attribute AccY29 numeric
@attribute AccZ29 numeric
@attribute GyrX29 numeric
@attribute GyrY29 numeric
@attribute GyrZ29 numeric
@attribute AccX30 numeric
@attribute AccY30 numeric
@attribute AccZ30 numeric
@attribute GyrX30 numeric
@attribute GyrY30 numeric
@attribute GyrZ30 numeric
@attribute test {up,down,left,right,tiltleft,tiltright}

@data
19,37,-291,300,-426,51,16,7,8,-663,813,-155,-3,-9,-29,463,-102,185,-15,-29,-42,42,66,-190,-18,-7,57,543,238,-91,-12,25,107,-648,-182,-30,-15,-17,36,549,-400,28,-3,19,64,25,-331,68,7,0,-35,-676,376,16,10,11,16,-335,-282,113,2,4,-84,134,-30,89,3,-3,-3,-389,67,-40,9,-25,-72,185,-130,72,9,-2,-51,-14,253,-42,-12,-12,44,172,-192,-101,12,-5,-3,379,120,65,-1,1,30,41,-138,-56,5,-8,16,-58,54,-23,2,-1,-37,101,-120,66,17,12,21,123,-43,50,-6,-9,9,-140,400,-106,-13,9,-1,69,418,-48,-2,4,7,133,-301,83,-1,8,-3,-268,-171,26,-1,-3,-1,5,5,-33,-2,3,0,18,-3,20,1,9,3,-35,6,-9,1,-9,-4,-18,1,-5,-3,2,-1,1,-3,5,3,-3,1,21,2,1,up
11,6,-299,-305,251,94,-2,-16,-6,-29,82,-71,-7,17,-46,231,-26,-116,-8,-12,31,266,-111,76,-5,21,17,390,248,8,-9,-27,64,-53,-312,21,-11,20,56,111,-38,59,3,-6,-5,301,-243,-34,13,26,50,-682,221,38,-19,-16,58,216,-103,-80,11,24,14,-518,-143,109,-21,-14,-34,-365,270,-281,12,4,-92,-71,-242,-42,0,-25,-34,-398,295,-91,8,18,-86,688,-395,148,0,-8,78,-349,67,65,1,-14,-59,101,218,-69,-7,-3,20,335,-202,112,15,-5,30,216,-272,65,-4,-23,4,-323,441,-37,12,14,-49,421,-273,155,11,2,42,-111,-19,58,4,-10,-23,169,-18,84,3,22,18,404,-123,110,3,-3,1,-214,124,-189,-3,-5,8,-95,-119,-64,14,29,-23,-323,451,-38,-7,-7,17,182,151,-53,-17,-1,2,-160,-174,1,5,2,8,28,-44,-40,up
-38,18,-175,379,175,54,-4,21,70,-127,-141,-3,7,-16,-16,146,-293,-51,1,11,-13,-653,63,-72,-4,13,-59,-117,147,-100,-3,-20,-11,-182,16,-66,12,10,-46,331,-190,25,-5,-6,41,-334,297,-84,23,-3,-24,805,-655,123,4,5,6,-346,97,-43,9,0,-46,-243,317,80,3,-26,29,-160,8,99,9,3,-60,543,-117,69,9,1,49,46,-162,-11,5,-3,-17,74,156,70,-15,-13,15,-335,269,-38,5,17,7,359,-319,108,4,-10,15,230,-1,-179,-2,6,5,-386,532,56,-6,8,13,-79,627,-47,-5,-6,-21,65,-852,14,-2,-14,-5,221,-45,18,2,17,8,-206,35,-14,1,-1,-2,6,-2,-3,-1,-5,-1,35,-1,3,0,5,1,1,4,2,0,-1,-1,-29,-2,-1,-1,0,0,24,-1,-1,1,-1,0,-19,0,-1,0,0,0,6,1,4,up
-19,-17,-301,-7,-365,-134,17,9,70,-407,240,142,-4,-3,-63,300,-77,-92,8,0,44,11,-48,43,-2,-18,-34,99,27,-15,9,15,46,-14,8,134,-4,4,-38,914,-436,-6,11,12,10,-310,365,-73,2,14,32,-582,548,123,-2,-6,-19,-34,-238,-97,-9,-1,15,69,-58,38,4,-9,0,79,-16,-16,-3,12,2,-58,11,-39,1,4,1,-67,1,-5,-2,-5,-2,27,1,4,1,-2,0,56,0,3,1,1,0,-29,1,0,-1,1,0,15,0,-3,2,-1,-3,-9,2,3,-1,0,3,4,-1,-4,0,0,-1,-5,-1,4,0,0,2,1,-1,-1,0,0,-1,-1,1,-1,0,0,-2,2,-1,3,-2,0,2,2,-3,-2,1,1,-3,0,4,0,1,-1,2,-3,-2,-2,0,0,1,1,2,3,0,0,0,-1,1,0,1,0,-1,2,-3,-1,up
15,-14,-291,446,-262,-29,-3,8,55,-392,271,66,9,24,0,304,-288,123,-5,9,-52,212,713,-268,-10,-17,40,-516,-412,149,2,7,4,-24,-47,-25,3,-1,8,25,-15,64,-4,-11,-7,24,3,-69,2,3,6,-25,1,-3,-1,4,-1,0,0,0,-1,-2,1,2,1,1,2,-1,0,-2,-2,-3,1,1,-1,3,-1,2,-2,0,0,-1,2,2,1,0,1,-4,0,2,0,0,0,3,-3,-4,-1,0,-1,0,3,1,2,-1,1,-3,-1,-2,-2,1,-1,2,0,-1,1,1,1,-4,4,2,0,-3,-1,5,-5,-1,-1,2,0,-1,2,2,1,0,0,1,1,-3,-1,1,1,1,-1,2,0,1,0,0,-1,1,0,-3,-1,4,-1,0,0,3,0,-2,2,0,0,-1,2,-2,-4,-2,2,0,-4,-3,6,0,-2,-3,3,2,0,-1,up
26,22,-289,-99,-146,100,8,26,-5,-462,764,-60,-37,-57,-28,555,-76,51,5,19,-8,421,-174,-81,-14,-1,14,417,6,-59,-10,-4,68,-131,-171,-46,-11,10,33,-148,321,130,-22,-6,14,-98,-44,-209,-6,15,68,24,-297,57,4,27,-5,-107,-91,18,2,5,33,-177,-245,83,10,0,2,-395,-94,-76,-5,-9,-47,-343,20,33,0,-11,-34,14,-9,31,-7,-9,-17,60,-121,23,18,2,-74,58,68,-86,14,-16,34,24,44,60,1,3,-16,-126,211,80,9,-33,-7,189,-279,-101,-9,16,-8,-46,429,92,9,-14,15,423,-594,90,6,-5,-1,-48,155,-89,8,9,-4,40,-70,-21,2,-5,13,80,9,44,-2,-1,-12,-80,173,-29,3,-4,30,-20,-81,-7,1,11,-18,207,-19,38,5,-22,-2,-346,30,-185,12,28,9,466,95,244,-3,5,15,-9,-96,-101,up
16,32,-293,243,143,15,-3,7,-66,-977,475,345,1,-15,10,597,-24,-159,-26,-7,13,588,28,-27,-24,-27,66,225,-255,-98,-10,8,64,-339,-80,-86,-5,-1,29,283,199,38,-2,33,-15,120,-279,-41,12,15,71,11,-41,-6,-12,5,81,-263,-577,-57,-2,18,-51,-702,232,73,13,-26,-17,108,-294,-55,-3,20,-63,-637,366,11,-7,-24,-41,87,-8,-127,9,-11,-32,139,-214,28,5,6,-38,42,247,104,0,-15,32,241,-194,24,15,-13,-45,96,-29,-138,4,20,61,-29,108,174,2,-18,-14,-527,149,-77,1,-28,25,900,-405,44,14,9,0,-517,121,-5,0,-19,-53,682,-215,-23,24,39,19,439,-115,86,3,-4,-23,-408,129,51,-12,-21,0,-138,664,101,3,42,45,-542,-51,-65,5,-19,-2,273,-129,83,-15,-6,-5,120,8,-203,2,10,4,-61,4,-4,up
-11,14,-306,269,436,64,-17,-5,15,370,-195,-165,5,10,22,-11,315,2,-18,4,70,-185,-247,50,-3,8,27,172,-117,-28,4,5,8,-274,10,75,-9,-3,88,-40,-371,-13,4,5,-48,-3,182,42,-2,-7,7,-396,-324,-228,0,22,-46,-360,208,131,9,3,-38,-222,-32,25,-7,-17,-49,-42,314,51,-8,-42,-28,233,-532,-62,21,30,25,172,-49,58,-3,-46,-2,103,49,-61,18,22,3,45,-162,74,5,0,-3,-519,489,-151,11,-14,-2,1043,-650,134,9,6,10,-787,620,-166,-9,-34,-30,521,-205,74,16,25,16,290,-125,127,-7,-3,11,-133,191,41,6,3,15,95,-129,-48,14,10,-24,501,514,47,-14,15,26,-399,-21,-48,-12,-18,-40,-398,-188,-7,6,16,34,17,-18,-8,0,3,1,6,-1,0,0,-1,2,-16,0,0,0,0,-2,4,0,-2,up
-54,49,-160,182,336,-92,18,-1,-34,414,-87,123,-10,-9,118,-498,-336,60,0,-7,-48,-62,80,-66,6,-10,2,-318,-115,-69,-16,17,-36,-147,110,-16,4,-1,-47,186,-128,-39,0,-4,-8,-131,-151,38,10,16,13,-394,145,-69,7,-2,-62,404,133,166,-7,-23,7,152,-304,232,10,-19,-25,-48,40,0,5,5,49,30,13,151,-2,-27,-32,443,-162,-134,17,22,5,-117,50,82,-9,-26,-2,-26,249,-256,16,24,-5,504,-410,34,0,-4,32,-780,416,-278,7,13,-27,805,-141,271,1,-16,8,-227,-125,-293,16,28,38,-41,37,53,-21,-9,-117,-511,725,-115,13,16,113,-394,-395,163,0,-34,-25,724,-1,-99,-2,15,9,-141,-21,158,-1,-3,-7,46,8,5,1,0,5,-6,-4,1,0,2,-3,5,2,-3,-1,-1,3,3,1,1,2,2,-3,-6,1,0,up
49,31,-289,186,-283,-118,-21,-42,-48,-915,1492,-164,-8,14,2,726,-384,-19,-37,6,18,322,-156,296,-23,-7,43,483,-411,-205,-14,36,14,356,-143,226,8,26,22,-390,-272,0,1,-1,49,-366,280,-74,-8,-31,67,-502,92,4,6,-6,23,435,-440,28,8,11,11,-656,223,62,4,6,-13,-288,27,-7,-4,-13,-81,193,73,-64,-4,33,-39,-224,265,-4,-6,-25,-11,376,-489,162,-7,-13,-28,-560,266,16,-3,-19,19,343,-339,36,8,-13,-37,394,116,-2,-6,-4,38,-48,-44,16,4,4,32,95,-44,-59,2,-3,-10,-22,11,56,14,-2,-42,313,-512,-56,13,12,15,-22,56,0,20,-25,-11,63,-355,-21,29,34,-51,232,103,-94,-6,-26,47,-197,465,-65,-108,37,-162,-100,653,-128,99,-28,205,-175,370,1,8,24,-20,-74,-643,113,-9,0,4,61,-9,75,up
